moodys_industry,gics_1_sector_code,gics_2_industrygroup_code,gics_3_industry_code,gics_4_subindustry_code,gics_1_sector,gics_2_industrygroup,gics_3_industry,gics_4_subindustry,gics_description,moodys_description
Metals & Mining,15,1510,151040,15104020,Materials,Materials,Metals & Mining,Diversified Metals & Mining,"Companies engaged in the diversified production or extraction of metals and minerals not classified elsewhere. Including, but not limited to, nonferrous metal mining (except bauxite), salt and borate mining, phosphate rock mining, and diversified mining operations. Excludes iron ore mining, classified in the Steel Sub-Industry, bauxite mining, classified in the Aluminum Sub-Industry, and coal mining, classified in either the Steel or Coal & Consumable Fuels Sub-Industries.","Coal and metal mining, aluminum and steel production and recycling"
Metals & Mining,15,1510,151040,15104025,Materials,Materials,Metals & Mining,Copper,Companies involved primarily in copper ore mining. ,"Coal and metal mining, aluminum and steel production and recycling"
Metals & Mining,15,1510,151040,15104030,Materials,Materials,Metals & Mining,Gold,"Producers of gold and related products, including companies that mine or process gold and the South African finance houses which primarily invest in, but do not operate, gold mines.","Coal and metal mining, aluminum and steel production and recycling"
Metals & Mining,15,1510,151040,15104040,Materials,Materials,Metals & Mining,Precious Metals & Minerals,Companies mining precious metals and minerals not classified in the Gold Sub-Industry. Includes companies primarily mining platinum.,"Coal and metal mining, aluminum and steel production and recycling"
Metals & Mining,15,1510,151040,15104045,Materials,Materials,Metals & Mining,Silver,Companies primarily mining silver. Excludes companies classified in the Gold or Precious Metals & Minerals Sub-Industries.,"Coal and metal mining, aluminum and steel production and recycling"
Metals & Mining,15,1510,151040,15104050,Materials,Materials,Metals & Mining,Steel,"Producers of iron and steel and related products, including metallurgical (coking) coal mining used for steel production.","Coal and metal mining, aluminum and steel production and recycling"
Forest Products & Paper,15,1510,151050,15105010,Materials,Materials,Paper & Forest Products,Forest Products,Manufacturers of timber and related wood products. Includes lumber for the building industry.,"Pulp and (non-packaging) paper, wood products"
Forest Products & Paper,15,1510,151050,15105020,Materials,Materials,Paper & Forest Products,Paper Products,Manufacturers of all grades of paper. Excludes companies specializing in paper packaging classified in the Paper & Plastic Packaging Products & Materials Sub-Industry.,"Pulp and (non-packaging) paper, wood products"
Aerospace & Defense,20,2010,201010,20101010,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Manufacturers of civil or military aerospace and defense equipment, parts or products. Includes defense electronics and space equipment.","Aircraft, aerospace and defense equipment and parts manufacturers"
Construction & Building,20,2010,201020,20102010,Industrials,Capital Goods,Building Products,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.,"Commercial and residential construction, homebuilding"
Construction & Building,20,2010,201030,20103010,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,Companies engaged in primarily non-residential construction. Includes civil engineering companies and large-scale contractors. Excludes companies classified in the Homebuilding Sub-Industry.,"Commercial and residential construction, homebuilding"
Capital Equipment,20,2010,201040,20104010,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,"Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry.","Heavy machinery, component equipment and finished products manufacturers"
Utilities: Electric,20,2010,201040,20104020,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of power-generating equipment and other heavy electrical equipment, including power turbines, heavy electrical machinery intended for fixed-use and large electrical systems. Excludes cables and wires, classified in the Electrical Components & Equipment Sub-Industry.","Regulated Electricity network, transmission & distribution, electricity production, integrated utilities and multi-utility"
NOT_APPLICABLE,20,2010,201050,20105010,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries.",ERROR
Capital Equipment,20,2010,201060,20106010,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment,"Manufacturers of heavy duty trucks, rolling machinery, earth-moving and construction equipment, and manufacturers of related parts. Includes non-military shipbuilding.","Heavy machinery, component equipment and finished products manufacturers"
Capital Equipment,20,2010,201060,20106015,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,"Companies manufacturing agricultural machinery, farm machinery, and their related parts. Includes machinery used for the production of crops and agricultural livestock, agricultural tractors, planting and fertilizing machinery, fertilizer and chemical application equipment, and grain dryers and blowers.","Heavy machinery, component equipment and finished products manufacturers"
Capital Equipment,20,2010,201060,20106020,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components,"Manufacturers of industrial machinery and industrial components. Includes companies that manufacture presses, machine tools, compressors, pollution control equipment, elevators, escalators, insulators, pumps, roller bearings and other metal fabrications.","Heavy machinery, component equipment and finished products manufacturers"
Wholesale,20,2010,201070,20107010,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,Trading companies and other distributors of industrial equipment and products.,Various wholesale distributors
"Media: Advertising, Printing & Publishing",20,2020,202010,20201010,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Commercial Printing,Companies providing commercial printing services. Includes printers primarily serving the media industry.,"Books, newspaper publishing and printing, and advertising agencies"
Environmental Industries,20,2020,202010,20201050,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,"Companies providing environmental and facilities maintenance services. Includes waste management, facilities management and pollution control services. Excludes large-scale water treatment systems classified in the Water Utilities Sub-Industry.",Environmental services and waste management
Services: Business,20,2020,202010,20201060,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Office Services & Supplies,Providers of office services and manufacturers of office supplies and equipment not classified elsewhere.,Business and rental services
Services: Business,20,2020,202010,20201070,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Diversified Support Services,"Companies primarily providing labor oriented support services to businesses and governments.  Includes commercial cleaning services, dining & catering services, equipment repair services, industrial maintenance services, industrial auctioneers, storage & warehousing, transaction services, uniform rental services, and other business support services.",Business and rental services
Services: Business,20,2020,202010,20201080,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Security & Alarm Services,"Companies providing security and protection services to business and governments. Includes companies providing services such as correctional facilities, security & alarm services, armored transportation & guarding. Excludes companies providing security software classified under the Systems Software Sub-Industry and home security services classified under the Specialized Consumer Services Sub-Industry. Also excludes companies manufacturing security system equipment classified under the Electronic Equipment & Instruments Sub-Industry. ",Business and rental services
Services: Business,20,2020,202020,20202010,Industrials,Commercial  & Professional Services,Professional Services,Human Resource & Employment Services ,"Companies providing business support services relating to human capital management. This Sub-Industry includes employment agencies, employee training, payroll processing, benefit & retirement support services, corporate & job seeker recruitment services, and online job portals generating revenue from fees or commissions for offering recruitment services to companies or job seekers.",Business and rental services
Services: Business,20,2020,202020,20202020,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services,"Companies primarily providing research and consulting services to businesses and governments not classified elsewhere.  Includes companies involved in management consulting services, architectural design, business information or scientific research, marketing, and testing & certification services. Excludes companies providing information technology consulting services classified in the IT Consulting & Other Services Sub-Industry.",Business and rental services
Services: Business,20,2020,202020,20202030,Industrials,Commercial  & Professional Services,Professional Services,Data Processing & Outsourced Services ,"Providers of commercial data processing and/or business process outsourcing services. This Sub-Industry includes companies providing services for customer experience management, back-office automation, call center management, and investor communications.",Business and rental services
Transportation: Cargo,20,2030,203010,20301010,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Passenger Airlines, Marine Transportation, Cargo Ground Transportation and Passenger Ground Transportation Sub-Industries.","Equipment leasing, rail equipment, air freight, railroad, trucking and maritime shipping"
Transportation: Consumer,20,2030,203020,20302010,Industrials,Transportation,Passenger Airlines (New name),Passenger Airlines ,Companies providing primarily passenger air transportation.,"Airports, airlines, passenger railroad and commuter transportation"
Transportation: Cargo,20,2030,203030,20303010,Industrials,Transportation,Marine Transportation,Marine Transportation ,"Companies providing goods or passenger maritime transportation. Excludes cruise-ships classified in the Hotels, Resorts & Cruise Lines Sub-Industry.","Equipment leasing, rail equipment, air freight, railroad, trucking and maritime shipping"
Transportation: Cargo,20,2030,203040,20304010,Industrials,Transportation,Ground Transportation,Rail Transportation,Companies providing primarily goods and passenger rail  transportation.,"Equipment leasing, rail equipment, air freight, railroad, trucking and maritime shipping"
Transportation: Cargo,20,2030,203040,20304030,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation,Companies providing ground transportation services for goods and freight.,"Equipment leasing, rail equipment, air freight, railroad, trucking and maritime shipping"
Transportation: Consumer,20,2030,203040,20304040,Industrials,Transportation,Ground Transportation,Passenger Ground Transportation,"Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.","Airports, airlines, passenger railroad and commuter transportation"
Transportation: Consumer,20,2030,203050,20305010,Industrials,Transportation,Transportation Infrastructure,Airport Services,Operators of airports and companies providing related services.,"Airports, airlines, passenger railroad and commuter transportation"
Transportation: Cargo,20,2030,203050,20305020,Industrials,Transportation,Transportation Infrastructure,Highways & Railtracks,"Owners and operators of roads, tunnels and railtracks.","Equipment leasing, rail equipment, air freight, railroad, trucking and maritime shipping"
Transportation: Cargo,20,2030,203050,20305030,Industrials,Transportation,Transportation Infrastructure,Marine Ports & Services,Owners and operators of marine ports and related services.,"Equipment leasing, rail equipment, air freight, railroad, trucking and maritime shipping"
Automotive,25,2510,251010,25101010,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.,Commercial and passenger automotive and parts and farm equipment manufacturers
Automotive,25,2510,251010,25101020,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber,Manufacturers of tires and rubber.,Commercial and passenger automotive and parts and farm equipment manufacturers
Automotive,25,2510,251020,25102010,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,Companies that produce mainly passenger automobiles and light trucks. Excludes companies producing mainly motorcycles and three-wheelers classified in the Motorcycle Manufacturers Sub-Industry and heavy duty trucks classified in the Construction Machinery & Heavy Transportation Equipment Sub-Industry.,Commercial and passenger automotive and parts and farm equipment manufacturers
Automotive,25,2510,251020,25102020,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers,"Companies that produce motorcycles, scooters or three-wheelers. Excludes bicycles classified in the Leisure Products Sub-Industry. ",Commercial and passenger automotive and parts and farm equipment manufacturers
Consumer Goods: Durable,25,2520,252010,25201010,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,"Manufacturers of consumer electronics products including TVs, home audio equipment, game consoles, digital cameras, and related products. Excludes personal home computer manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry, and electric household appliances classified in the Household Appliances Sub-Industry.",Durable consumer products
Consumer Goods: Durable,25,2520,252010,25201020,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Manufacturers of soft home furnishings or furniture, including upholstery, carpets and wall-coverings.",Durable consumer products
Construction & Building,25,2520,252010,25201030,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,Residential construction companies. Includes manufacturers of prefabricated houses and semi-fixed manufactured homes.,"Commercial and residential construction, homebuilding"
Consumer Goods: Durable,25,2520,252010,25201040,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances,"Manufacturers of electric household appliances and related products.  Includes manufacturers of power and hand tools, including garden improvement tools.  Excludes TVs and other audio and video products classified in the Consumer Electronics Sub-Industry and personal computers classified in the Technology Hardware, Storage & Peripherals Sub-Industry.",Durable consumer products
Consumer Goods: Durable,25,2520,252010,25201050,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,"Manufacturers of durable household products, including cutlery, cookware, glassware, crystal, silverware, utensils, kitchenware and consumer specialties not classified elsewhere.",Durable consumer products
Consumer Goods: Durable,25,2520,252020,25202010,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,"Manufacturers of leisure products and equipment including sports equipment, bicycles and toys.",Durable consumer products
Consumer Goods: Non-Durable,25,2520,252030,25203010,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","Manufacturers of apparel, accessories & luxury goods. Includes companies primarily producing designer handbags, wallets, luggage, jewelry and watches. Excludes shoes classified in the Footwear Sub-Industry.","Household and personal care products, apparel and shoes and textiles"
Consumer Goods: Non-Durable,25,2520,252030,25203020,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear,Manufacturers of footwear. Includes sport and leather shoes.,"Household and personal care products, apparel and shoes and textiles"
Consumer Goods: Non-Durable,25,2520,252030,25203030,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Textiles,"Manufacturers of textile and related products not classified in the Apparel, Accessories & Luxury Goods, Footwear or Home Furnishings Sub-Industries.","Household and personal care products, apparel and shoes and textiles"
"Hotel, Gaming, & Leisure",25,2530,253010,25301010,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,Owners and operators of casinos and gaming facilities. Includes companies providing lottery and betting services.,"Casinos, amusement parks, cruise lines, movie theatres, recreation & amusement, ski resorts, sports enterprises, lodging and restaurants"
"Hotel, Gaming, & Leisure",25,2530,253010,25301020,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere . Excludes casino-hotels classified in the Casinos & Gaming Sub-Industry.","Casinos, amusement parks, cruise lines, movie theatres, recreation & amusement, ski resorts, sports enterprises, lodging and restaurants"
"Hotel, Gaming, & Leisure",25,2530,253010,25301030,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities,"Owners and operators of leisure facilities, including sport and fitness centers, stadiums, golf courses and amusement parks not classified in the Movies & Entertainment Sub-Industry.","Casinos, amusement parks, cruise lines, movie theatres, recreation & amusement, ski resorts, sports enterprises, lodging and restaurants"
"Beverage, Food, & Tobacco",25,2530,253010,25301040,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,"Owners and operators of restaurants, bars, pubs, fast-food or take-out facilities. Includes companies that provide food catering services.","Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
Services: Consumer,25,2530,253020,25302010,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,"Companies providing educational services, either on-line or through conventional teaching methods. Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the Human Resources & Employment Services Sub-Industry.",Consumer services
Services: Consumer,25,2530,253020,25302020,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,"Companies providing consumer services not classified elsewhere.  Includes residential services, home security, legal services, personal services, renovation & interior design services, consumer auctions and wedding & funeral services.",Consumer services
Wholesale,25,2550,255010,25501010,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Distributors,Distributors and wholesalers of general merchandise not classified elsewhere. Includes vehicle distributors.,Various wholesale distributors
Retail,25,2550,255030,25503030,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,Broadline Retail,"Retailers offering a wide range of consumer discretionary merchandise. This Sub-Industry includes general and discount merchandise retailers, department stores and on-line retailers and marketplaces selling mostly consumer discretionary merchandise.","Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
Retail,25,2550,255040,25504010,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail,Retailers specialized mainly in apparel and accessories.,"Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
Retail,25,2550,255040,25504020,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Computer & Electronics Retail,"Owners and operators of consumer electronics, computers, video and related products retail stores.","Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
Retail,25,2550,255040,25504030,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Home Improvement Retail,Owners and operators of home and garden improvement retail stores. Includes stores offering building materials and supplies.,"Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
Retail,25,2550,255040,25504040,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail,"Owners and operators of specialty retail stores not classified elsewhere. Includes jewelry stores, toy stores, office supply stores, health & vision care stores, and book & entertainment stores.","Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
Automotive,25,2550,255040,25504050,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail,"Owners and operators of stores specializing in automotive retail.  Includes auto dealers, gas stations, and retailers of auto accessories, motorcycles & parts, automotive glass, and automotive equipment & parts.",Commercial and passenger automotive and parts and farm equipment manufacturers
Retail,25,2550,255040,25504060,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Homefurnishing Retail,"Owners and operators of furniture and home furnishings retail stores. Includes residential furniture, homefurnishings, housewares, and interior design.  Excludes home and garden improvement stores, classified in the Home Improvement Retail Sub-Industry.","Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
Healthcare & Pharmaceuticals,30,3010,301010,30101010,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Drug Retail,Owners and operators of primarily drug retail stores and pharmacies.,"Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
"Beverage, Food, & Tobacco",30,3010,301010,30101020,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Distributors,Distributors of food products to other companies and not directly to the consumer.,"Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
"Beverage, Food, & Tobacco",30,3010,301010,30101030,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Retail,Owners and operators of primarily food retail stores.,"Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
Retail,30,3010,301010,30101040,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,"Retailers offering a wide range of consumer staples merchandise such as food, household, and personal care products. This Sub-Industry includes hypermarkets, super centers and other consumer staples retailers such as discount retail spaces and on-line marketplaces selling mostly consumer staples goods.","Grocery stores, drug stores, department stores, general and specialty merchandise retailers"
"Beverage, Food, & Tobacco",30,3020,302010,30201010,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers,Producers of beer and malt liquors. Includes breweries not classified in the Restaurants Sub-Industry.,"Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
"Beverage, Food, & Tobacco",30,3020,302010,30201020,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,"Distillers, vintners and producers of alcoholic beverages not classified in the Brewers Sub-Industry.","Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
"Beverage, Food, & Tobacco",30,3020,302010,30201030,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages,Producers of non-alcoholic beverages including mineral waters. Excludes producers of milk classified in the Packaged Foods & Meats Sub-Industry.,"Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
"Beverage, Food, & Tobacco",30,3020,302020,30202010,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services,"Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludes companies classified in the Forest Products Sub-Industry and those that package and market the food products classified in the Packaged Foods & Meats Sub-Industry.","Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
"Beverage, Food, & Tobacco",30,3020,302020,30202030,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Producers of packaged foods including dairy products, fruit juices, meats, poultry, fish and pet foods.","Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
"Beverage, Food, & Tobacco",30,3020,302030,30203010,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,Manufacturers of cigarettes and other tobacco products.,"Packaged food, beverage and tobacco. Agriculture, protein and tobacco processors"
Consumer Goods: Non-Durable,30,3030,303010,30301010,Consumer Staples,Household & Personal Products,Household Products,Household Products,"Producers of non-durable household products, including detergents, soaps, diapers and other tissue and household paper products not classified in the Paper Products Sub-Industry.","Household and personal care products, apparel and shoes and textiles"
Consumer Goods: Non-Durable,30,3030,303020,30302010,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,"Manufacturers of personal and beauty care products, including cosmetics and perfumes.","Household and personal care products, apparel and shoes and textiles"
Healthcare & Pharmaceuticals,35,3510,351010,35101010,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment.","Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
Healthcare & Pharmaceuticals,35,3510,351010,35101020,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,"Manufacturers of health care supplies and medical products not classified elsewhere. Includes eye care products, hospital supplies, and safety needle & syringe devices.","Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
Healthcare & Pharmaceuticals,35,3510,351020,35102010,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,Distributors and wholesalers of health care products not classified elsewhere. ,"Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
Healthcare & Pharmaceuticals,35,3510,351020,35102015,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services,"Providers of patient health care services not classified elsewhere. Includes dialysis centers, lab testing services, and pharmacy management services. Also includes companies providing business support services to health care providers, such as clerical support services, collection agency services, staffing services and outsourced sales & marketing services.","Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
Healthcare & Pharmaceuticals,35,3510,351020,35102020,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities,"Owners and operators of health care facilities, including hospitals, nursing homes, rehabilitation centers and animal hospitals.","Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
Healthcare & Pharmaceuticals,35,3510,351020,35102030,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,Owners and operators of Health Maintenance Organizations (HMOs) and other managed plans.,"Hospitals, long-term care facilities, outpatient facilities, medical device manufacturers and medical service providers. General and specialty pharmaceuticals"
